time_sec;time_min;FHR_bpm
265.0;4.417;150.8
266.0;4.433;151.3
267.0;4.45;151.7
268.0;4.467;151.8
269.0;4.483;151.8
270.0;4.5;151.7
271.0;4.517;151.7
272.0;4.533;151.6
273.0;4.55;151.6
274.0;4.567;151.5
275.0;4.583;151.3
276.0;4.6;151.1
277.0;4.617;150.9
278.0;4.633;151.0
279.0;4.65;151.1
280.0;4.667;151.4
281.0;4.683;151.7
282.0;4.7;152.0
283.0;4.717;152.3
284.0;4.733;152.8
285.0;4.75;153.4
286.0;4.767;154.0
287.0;4.783;154.4
288.0;4.8;154.7
289.0;4.817;154.9
290.0;4.833;154.9
291.0;4.85;154.9
292.0;4.867;154.7
293.0;4.883;154.4
294.0;4.9;154.0
295.0;4.917;153.6
296.0;4.933;153.2
297.0;4.95;152.8
298.0;4.967;152.5
299.0;4.983;152.3
300.0;5.0;152.1
301.0;5.017;152.0
302.0;5.033;151.9
303.0;5.05;152.0
304.0;5.067;152.1
305.0;5.083;152.1
306.0;5.1;152.2
307.0;5.117;152.2
308.0;5.133;152.3
309.0;5.15;152.3
310.0;5.167;152.5
311.0;5.183;152.6
312.0;5.2;152.8
313.0;5.217;152.9
314.0;5.233;152.9
315.0;5.25;153.0
316.0;5.267;153.0
317.0;5.283;153.0
318.0;5.3;152.9
319.0;5.317;152.7
320.0;5.333;152.5
321.0;5.35;152.2
322.0;5.367;152.0
323.0;5.383;151.7
324.0;5.4;151.4
325.0;5.417;151.0
326.0;5.433;150.5
327.0;5.45;150.0
328.0;5.467;149.6
329.0;5.483;149.0
330.0;5.5;148.5
331.0;5.517;148.0
332.0;5.533;147.8
333.0;5.55;147.6
334.0;5.567;147.4
335.0;5.583;147.3
336.0;5.6;147.3
337.0;5.617;147.2
338.0;5.633;147.2
339.0;5.65;147.4
340.0;5.667;147.6
341.0;5.683;147.6
342.0;5.7;147.6
343.0;5.717;147.7
344.0;5.733;147.8
345.0;5.75;148.1
346.0;5.767;148.4
347.0;5.783;148.7
348.0;5.8;149.1
349.0;5.817;149.3
350.0;5.833;149.7
351.0;5.85;150.0
352.0;5.867;150.3
353.0;5.883;150.6
354.0;5.9;150.8
355.0;5.917;150.9
356.0;5.933;151.1
357.0;5.95;151.0
358.0;5.967;151.0
359.0;5.983;151.0
360.0;6.0;150.9
361.0;6.017;150.8
362.0;6.033;150.7
363.0;6.05;150.6
364.0;6.067;150.5
365.0;6.083;150.4
366.0;6.1;150.3
367.0;6.117;150.3
368.0;6.133;150.3
369.0;6.15;150.3
370.0;6.167;150.2
371.0;6.183;150.1
372.0;6.2;150.1
373.0;6.217;150.0
374.0;6.233;150.0
375.0;6.25;149.9
376.0;6.267;150.0
377.0;6.283;150.1
378.0;6.3;150.4
379.0;6.317;150.8
380.0;6.333;151.2
381.0;6.35;151.6
382.0;6.367;151.9
383.0;6.383;152.2
384.0;6.4;152.5
385.0;6.417;152.7
386.0;6.433;152.8
387.0;6.45;152.8
388.0;6.467;152.6
389.0;6.483;152.3
390.0;6.5;152.0
391.0;6.517;151.8
392.0;6.533;151.6
393.0;6.55;151.4
394.0;6.567;151.3
395.0;6.583;151.2
396.0;6.6;151.2
397.0;6.617;151.2
398.0;6.633;151.3
399.0;6.65;151.4
400.0;6.667;151.6
401.0;6.683;151.8
402.0;6.7;152.1
403.0;6.717;152.3
404.0;6.733;152.3
405.0;6.75;152.3
406.0;6.767;152.3
407.0;6.783;152.2
408.0;6.8;152.2
409.0;6.817;152.0
410.0;6.833;151.8
411.0;6.85;151.5
412.0;6.867;151.2
413.0;6.883;151.1
414.0;6.9;150.8
415.0;6.917;150.6
416.0;6.933;150.4
417.0;6.95;150.2
418.0;6.967;150.2
419.0;6.983;150.2
420.0;7.0;150.3
421.0;7.017;150.4
422.0;7.033;150.5
423.0;7.05;150.6
424.0;7.067;150.5
425.0;7.083;150.2
426.0;7.1;150.0
427.0;7.117;149.8
428.0;7.133;149.7
429.0;7.15;149.6
430.0;7.167;149.6
431.0;7.183;149.7
432.0;7.2;149.7
433.0;7.217;149.7
434.0;7.233;150.1
435.0;7.25;150.5
436.0;7.267;150.9
437.0;7.283;151.2
438.0;7.3;151.4
439.0;7.317;151.4
440.0;7.333;151.3
441.0;7.35;151.1
442.0;7.367;151.2
443.0;7.383;151.2
444.0;7.4;151.3
445.0;7.417;151.2
446.0;7.433;151.0
447.0;7.45;150.7
448.0;7.467;150.3
449.0;7.483;150.0
450.0;7.5;149.6
451.0;7.517;149.1
452.0;7.533;148.5
453.0;7.55;147.9
454.0;7.567;147.3
455.0;7.583;146.8
456.0;7.6;146.4
457.0;7.617;146.0
458.0;7.633;145.9
459.0;7.65;145.9
460.0;7.667;146.1
461.0;7.683;146.3
462.0;7.7;146.7
463.0;7.717;147.1
464.0;7.733;147.7
465.0;7.75;148.2
466.0;7.767;148.6
467.0;7.783;148.9
468.0;7.8;149.1
469.0;7.817;149.3
470.0;7.833;149.6
471.0;7.85;149.9
472.0;7.867;150.1
473.0;7.883;150.1
474.0;7.9;149.9
