time_sec;time_min;Toco_value
265.0;4.417;35.2
266.0;4.433;37.4
267.0;4.45;40.2
268.0;4.467;40.1
269.0;4.483;41.1
270.0;4.5;44.3
271.0;4.517;45.6
272.0;4.533;44.2
273.0;4.55;43.1
274.0;4.567;43.2
275.0;4.583;45.6
276.0;4.6;44.6
277.0;4.617;43.1
278.0;4.633;44.9
279.0;4.65;45.7
280.0;4.667;45.7
281.0;4.683;46.0
282.0;4.7;48.6
283.0;4.717;50.8
284.0;4.733;51.1
285.0;4.75;49.1
286.0;4.767;48.8
287.0;4.783;48.9
288.0;4.8;46.1
289.0;4.817;43.4
290.0;4.833;42.2
291.0;4.85;40.9
292.0;4.867;38.6
293.0;4.883;37.7
294.0;4.9;39.1
295.0;4.917;41.2
296.0;4.933;44.1
297.0;4.95;46.2
298.0;4.967;46.0
299.0;4.983;45.2
300.0;5.0;42.9
301.0;5.017;42.6
302.0;5.033;45.3
303.0;5.05;46.4
304.0;5.067;46.2
305.0;5.083;45.9
306.0;5.1;45.4
307.0;5.117;47.4
308.0;5.133;50.3
309.0;5.15;52.7
310.0;5.167;52.6
311.0;5.183;51.4
312.0;5.2;48.2
313.0;5.217;47.0
314.0;5.233;47.2
315.0;5.25;44.9
316.0;5.267;42.3
317.0;5.283;41.4
318.0;5.3;40.6
319.0;5.317;39.1
320.0;5.333;39.1
321.0;5.35;39.2
322.0;5.367;39.3
323.0;5.383;36.4
324.0;5.4;34.4
325.0;5.417;37.0
326.0;5.433;40.4
327.0;5.45;41.3
328.0;5.467;43.2
329.0;5.483;45.9
330.0;5.5;48.6
331.0;5.517;51.3
332.0;5.533;53.3
333.0;5.55;53.7
334.0;5.567;52.9
335.0;5.583;51.1
336.0;5.6;49.6
337.0;5.617;47.2
338.0;5.633;47.0
339.0;5.65;46.9
340.0;5.667;46.9
341.0;5.683;45.3
342.0;5.7;44.5
343.0;5.717;46.4
344.0;5.733;48.3
345.0;5.75;46.0
346.0;5.767;44.4
347.0;5.783;44.6
348.0;5.8;45.3
349.0;5.817;43.7
350.0;5.833;43.0
351.0;5.85;45.4
352.0;5.867;46.7
353.0;5.883;44.1
354.0;5.9;43.9
355.0;5.917;46.6
356.0;5.933;49.2
357.0;5.95;46.7
358.0;5.967;43.7
359.0;5.983;43.7
360.0;6.0;43.9
361.0;6.017;44.5
362.0;6.033;47.1
363.0;6.05;50.6
364.0;6.067;52.0
365.0;6.083;53.0
366.0;6.1;54.7
367.0;6.117;58.5
368.0;6.133;62.4
369.0;6.15;64.6
370.0;6.167;65.0
371.0;6.183;64.3
372.0;6.2;63.6
373.0;6.217;63.9
374.0;6.233;64.0
375.0;6.25;63.9
376.0;6.267;63.7
377.0;6.283;63.4
378.0;6.3;63.0
379.0;6.317;63.0
380.0;6.333;63.8
381.0;6.35;64.8
382.0;6.367;65.3
383.0;6.383;65.2
384.0;6.4;65.2
385.0;6.417;65.4
386.0;6.433;65.3
387.0;6.45;65.3
388.0;6.467;65.1
389.0;6.483;64.9
390.0;6.5;64.5
391.0;6.517;64.0
392.0;6.533;63.4
393.0;6.55;62.8
394.0;6.567;62.1
395.0;6.583;61.5
396.0;6.6;61.1
397.0;6.617;60.4
398.0;6.633;59.7
399.0;6.65;59.1
400.0;6.667;58.8
401.0;6.683;58.8
402.0;6.7;58.8
403.0;6.717;58.7
404.0;6.733;58.6
405.0;6.75;58.5
406.0;6.767;58.5
407.0;6.783;58.5
408.0;6.8;57.6
409.0;6.817;55.0
410.0;6.833;55.1
411.0;6.85;54.9
412.0;6.867;54.9
413.0;6.883;55.4
414.0;6.9;55.3
415.0;6.917;55.6
416.0;6.933;55.8
417.0;6.95;56.1
418.0;6.967;58.6
419.0;6.983;59.6
420.0;7.0;59.5
421.0;7.017;59.3
422.0;7.033;58.7
423.0;7.05;58.3
424.0;7.067;58.1
425.0;7.083;59.8
426.0;7.1;62.9
427.0;7.117;65.1
428.0;7.133;66.1
429.0;7.15;67.0
430.0;7.167;68.0
431.0;7.183;69.0
432.0;7.2;70.0
433.0;7.217;70.9
434.0;7.233;71.9
435.0;7.25;69.7
436.0;7.267;67.9
437.0;7.283;67.4
438.0;7.3;67.7
439.0;7.317;68.1
440.0;7.333;68.5
441.0;7.35;69.0
442.0;7.367;69.6
443.0;7.383;70.0
444.0;7.4;70.4
445.0;7.417;70.7
446.0;7.433;70.7
447.0;7.45;70.7
448.0;7.467;70.3
449.0;7.483;69.8
450.0;7.5;69.4
451.0;7.517;68.8
452.0;7.533;68.0
453.0;7.55;66.3
454.0;7.567;64.3
455.0;7.583;65.6
456.0;7.6;64.5
457.0;7.617;60.7
458.0;7.633;57.4
459.0;7.65;54.0
460.0;7.667;50.5
461.0;7.683;47.0
462.0;7.7;46.4
463.0;7.717;47.9
464.0;7.733;48.5
465.0;7.75;46.6
466.0;7.767;45.9
467.0;7.783;45.9
468.0;7.8;48.8
469.0;7.817;52.9
470.0;7.833;57.1
471.0;7.85;60.1
472.0;7.867;56.9
473.0;7.883;55.4
474.0;7.9;56.2
475.0;7.917;58.3
476.0;7.933;58.9
477.0;7.95;58.8
478.0;7.967;58.8
479.0;7.983;58.7
480.0;8.0;56.7
481.0;8.017;54.7
482.0;8.033;54.5
483.0;8.05;50.7
484.0;8.067;46.5
485.0;8.083;46.3
486.0;8.1;49.7
487.0;8.117;51.1
488.0;8.133;50.4
489.0;8.15;51.3
490.0;8.167;53.9
491.0;8.183;54.2
492.0;8.2;55.2
493.0;8.217;59.3
494.0;8.233;61.8
495.0;8.25;60.0
496.0;8.267;56.5
497.0;8.283;53.2
498.0;8.3;53.6
499.0;8.317;51.8
500.0;8.333;49.8
501.0;8.35;52.0
502.0;8.367;54.8
503.0;8.383;52.3
504.0;8.4;48.2
505.0;8.417;50.9
506.0;8.433;56.6
507.0;8.45;60.0
508.0;8.467;60.4
509.0;8.483;63.0
510.0;8.5;67.1
511.0;8.517;66.8
512.0;8.533;65.9
513.0;8.55;69.7
514.0;8.567;72.8
515.0;8.583;72.8
516.0;8.6;71.5
517.0;8.617;70.6
518.0;8.633;69.8
519.0;8.65;69.4
520.0;8.667;66.4
521.0;8.683;65.3
522.0;8.7;61.8
523.0;8.717;58.2
524.0;8.733;56.4
525.0;8.75;55.6
526.0;8.767;54.8
527.0;8.783;51.1
528.0;8.8;47.1
529.0;8.817;46.6
530.0;8.833;48.1
531.0;8.85;48.1
532.0;8.867;51.0
533.0;8.883;54.6
534.0;8.9;57.2
535.0;8.917;59.4
536.0;8.933;62.0
537.0;8.95;65.2
538.0;8.967;67.9
539.0;8.983;67.5
540.0;9.0;64.3
541.0;9.017;63.4
542.0;9.033;61.5
543.0;9.05;62.7
544.0;9.067;60.8
545.0;9.083;58.2
546.0;9.1;54.8
547.0;9.117;50.8
548.0;9.133;51.0
549.0;9.15;51.1
550.0;9.167;51.1
551.0;9.183;51.3
552.0;9.2;47.4
553.0;9.217;46.3
554.0;9.233;49.5
555.0;9.25;53.2
556.0;9.267;58.1
557.0;9.283;61.4
558.0;9.3;60.0
559.0;9.317;58.9
560.0;9.333;58.8
561.0;9.35;61.9
562.0;9.367;64.0
563.0;9.383;61.1
564.0;9.4;58.0
565.0;9.417;55.4
566.0;9.433;52.3
567.0;9.45;48.6
568.0;9.467;48.5
569.0;9.483;48.6
570.0;9.5;47.5
571.0;9.517;44.1
572.0;9.533;42.6
573.0;9.55;42.4
574.0;9.567;40.1
575.0;9.583;37.7
576.0;9.6;40.1
577.0;9.617;41.0
578.0;9.633;41.1
579.0;9.65;41.2
580.0;9.667;43.3
581.0;9.683;45.1
582.0;9.7;43.0
583.0;9.717;46.6
584.0;9.733;51.7
585.0;9.75;53.6
586.0;9.767;53.1
587.0;9.783;52.7
588.0;9.8;52.7
589.0;9.817;52.8
590.0;9.833;53.0
591.0;9.85;55.2
592.0;9.867;54.8
593.0;9.883;48.5
594.0;9.9;43.1
595.0;9.917;42.2
596.0;9.933;45.1
597.0;9.95;48.3
598.0;9.967;51.3
599.0;9.983;53.1
600.0;10.0;53.1
601.0;10.017;53.0
602.0;10.033;54.7
603.0;10.05;59.0
604.0;10.067;62.6
605.0;10.083;62.4
606.0;10.1;62.3
607.0;10.117;62.1
608.0;10.133;62.0
609.0;10.15;61.8
610.0;10.167;61.7
611.0;10.183;61.5
612.0;10.2;61.5
613.0;10.217;61.7
614.0;10.233;62.8
615.0;10.25;65.4
616.0;10.267;68.5
617.0;10.283;69.3
618.0;10.3;69.9
619.0;10.317;70.3
620.0;10.333;70.6
621.0;10.35;70.7
622.0;10.367;70.6
623.0;10.383;70.4
624.0;10.4;68.9
625.0;10.417;65.9
626.0;10.433;63.8
627.0;10.45;63.4
628.0;10.467;62.9
629.0;10.483;62.7
630.0;10.5;62.7
631.0;10.517;62.7
632.0;10.533;62.8
633.0;10.55;63.0
634.0;10.567;63.1
635.0;10.583;60.8
636.0;10.6;56.5
637.0;10.617;53.4
638.0;10.633;52.2
639.0;10.65;52.5
640.0;10.667;52.7
641.0;10.683;53.1
642.0;10.7;53.4
643.0;10.717;53.7
644.0;10.733;54.0
645.0;10.75;58.4
646.0;10.767;62.9
647.0;10.783;65.6
648.0;10.8;66.7
649.0;10.817;67.0
650.0;10.833;67.5
651.0;10.85;68.3
652.0;10.867;69.0
653.0;10.883;69.4
654.0;10.9;69.4
655.0;10.917;69.1
656.0;10.933;68.5
657.0;10.95;67.8
658.0;10.967;67.1
659.0;10.983;66.3
660.0;11.0;65.5
661.0;11.017;64.6
662.0;11.033;64.1
663.0;11.05;64.3
664.0;11.067;65.2
665.0;11.083;66.9
